单词,English,Arabic
包含（五级）,contain,تحتوي على
包括（五级）,include,تشمل
薄（五级）,thin,رقيقة
宝贝（五级）,baby,كنز/طفل
宝贵（五级）,precious,ثمين
保持（五级）,keep,الاحتفاظ
保存（五级）,save,حافظ على
保留（五级）,reserve,احتفظ
保险（五级）,insurance,تأمين
报到（五级）,check in,تسجيل
报道（五级）,report,تقرير اخبار
报告（五级）,report,تقرير
报社（五级）,newspaper,مكتب صحيفة الاخبار
抱怨（五级）,complain,الشكوى
背（五级）,back,الظهر
悲观（五级）,pessimistic,التشاؤم
背景（五级）,background,الخلفية
被子（五级）,quilt,لحاف
本科（五级）,undergraduate,الباكلريوس
本领（五级）,ability,المهاره / القدره
本质（五级）,essence,الجوهر
比例（五级）,proportion,التناسب
彼此（五级）,each other,بعضها البعض
必然（五级）,necessarily,لا بد منه/ اكيد
必要（五级）,necessary,ضروري
毕竟（五级）,after all,بعد كل شيء
避免（五级）,avoid,تجنب
编辑（五级）,edit,تحرير
鞭炮（五级）,firecrackers,المفرقعات النارية
便（五级）,shit,مناسب
辩论（五级）,debate,المناقشة
标点（五级）,punctuation,تنقيط
标志（五级）,logo,علامة
表达（五级）,express,التعبير
表面（五级）,surface,السطح
表明（五级）,show,تشير إلى
表情（五级）,expression,التعبير
表现（五级）,performance,عرض
冰激凌（五级）,ice cream,آيس كريم
病毒（五级）,virus,فيروس
玻璃（五级）,glass,زجاج
播放（五级）,play,بث
脖子（五级）,neck,الرقبة
博物馆（五级）,museum,متحف
补充（五级）,supplement,مكمل
不安（五级）,uneasy,غير سهل
不得了（五级）,incredible,غير سهل
不断（五级）,constantly,باستمرار
不见得（五级）,not necessarily.,قد لا
不耐烦（五级）,impatient,غير صبور
不然（五级）,otherwise,و إلا
不如（五级）,not as,ليس بجودة
不要紧（五级）,never mind.,لا يهم
不足（五级）,insufficient,غير كافٍ
布（五级）,cloth,قماش
步骤（五级）,step,الخطوات
部门（五级）,department,القسم
财产（五级）,property,الممتلكات
采访（五级）,interview,مقابلة
采取（五级）,take,تبني
彩虹（五级）,rainbow,قوس قزح
踩（五级）,step on,اخطوا
参考（五级）,reference,المرجع
参与（五级）,participate,المشاركة
惭愧（五级）,ashamed,خجل
操场（五级）,playground,الملعب
操心（五级）,worry,قلق بشأن
册（五级）,book,حجم
测验（五级）,quiz,اختبار
曾经（五级）,once,كان
叉子（五级）,fork,شوكه
差距（五级）,gap,الفجوه
插（五级）,plug in,إدراج
拆（五级）,dismantle,تفكيك
产品（五级）,product,المنتجات
产生（五级）,produce,توليد
长途（五级）,long distance,المسافات الطويلة
常识（五级）,common sense,الحس السليم
抄（五级）,copy,النسخ
超级（五级）,super,سوبر
朝（五级）,dynasty,نحو
潮湿（五级）,wet,رطب
吵（五级）,noisy,صاخبة
吵架（五级）,quarrel,شجار
炒（五级）,fry,القلي
车库（五级）,garage,مرآب
车厢（五级）,carriage,مرآب
彻底（五级）,thorough,شامل
沉默（五级）,silence,الصمت
趁（五级）,while,الاستفاده من
称（五级）,weigh,نداء
称呼（五级）,call,النداء
称赞（五级）,praise,الثناء
成分（五级）,ingredient,المكون
成果（五级）,outcome,النجاح
成就（五级）,achievement,الإنجازات
成立（五级）,establish,التأسيس
成人（五级）,adult,البلوغ
成熟（五级）,mature,النضج
成语（五级）,idiom,تعيين العباره
成长（五级）,grow up,النضوج
诚恳（五级）,integrity,الإخلاص
承担（五级）,assume,اقدم
承认（五级）,admit,الاعتراف
承受（五级）,bear,تحمل
程度（五级）,level,درجة
程序（五级）,procedure,إجراء
吃亏（五级）,loss,معاناة الخسائر
池塘（五级）,pond,البركة
迟早（五级）,sooner or later,عاجلاً أم آجلاً
持续（五级）,sustain,الاستمرارية
尺子（五级）,ruler,المسطرة
翅膀（五级）,wing,الأجنحة
冲（五级）,rush,اندفاع
充电器（五级）,charger,شاحن
充分（五级）,sufficient,كاف
充满（五级）,be full of,ممتلئ
重复（五级）,repeat,كرر
宠物（五级）,pet,حيوان أليف
抽屉（五级）,drawer,درج
抽象（五级）,abstract,ملخص
丑（五级）,ugly,قبيح
臭（五级）,stink,نتن
出版（五级）,publish,النشر
出口（五级）,exit,مخرج
出色（五级）,outstanding,متميز
出示（五级）,show,عرض
出席（五级）,attend,الحضور
初级（五级）,primary,الابتدائي
除非（五级）,unless,ما لم
除夕（五级）,New Year's Eve,ليلة رأس السنه
处理（五级）,deal with,المعالجة
传播（五级）,spread,الانتشار
传染（五级）,infect,معدي
传说（五级）,legend,أسطورة
传统（五级）,tradition,التقاليد
窗帘（五级）,curtain,الستائر
闯（五级）,rush,الاختراق
创造（五级）,create,خلق
吹（五级）,blow,نفخ
词汇（五级）,vocabulary,المفردات
辞职（五级）,quit,استقالة
此外（五级）,besides,علاوة على ذلك
次要（五级）,secondary,ثانوي
刺激（五级）,stimulate,تحفيز
匆忙（五级）,in a hurry,على عجل
从此（五级）,from now on,من الآن فصاعدًا
从而（五级）,thereby,هكذا
从前（五级）,formerly,من
从事（五级）,be occupied in,الانخراط في
粗糙（五级）,rough,قاسي
促进（五级）,promote,الترويج
促使（五级）,urge,عجله
醋（五级）,vinegar,الخل
催（五级）,expedite,الاستعجال
存在（五级）,exist,التواجد
措施（五级）,measure,التدابير
答应（五级）,promise,الاجابه
达到（五级）,reach,الوصول
打工（五级）,work part-time,العمل
打交道（五级）,make contact with,المشاعر اتجاه
打喷嚏（五级）,sneeze,العطس
打听（五级）,ask about,الاستفسار
大方（五级）,generous,سخاء
大厦（五级）,mansion,بناء
大象（五级）,elephant,فيل
大型（五级）,large-scale,كبير
呆（五级）,dull,باهت
代表（五级）,represent,تمثيل
代替（五级）,replace,بدلاً من
贷款（五级）,loan,القرض
待遇（五级）,treatment,العلاج
担任（五级）,serve as,امساك
单纯（五级）,pure,بسيطة
单调（五级）,dull,رتيبة
单独（五级）,alone,بمفردها
单位（五级）,unit,وحدة قياس للمعايير
单元（五级）,unit,وحدة
耽误（五级）,delay,التأخير
胆小鬼（五级）,coward,جبان
淡（五级）,tasteless,خفيف
当地（五级）,local,محلي
当心（五级）,be careful,احذر من
挡（五级）,block,الحجب
导演（五级）,director,المخرج
导致（五级）,cause,الأسباب
岛屿（五级）,island,الجزيرة
倒霉（五级）,bad luck,غير محظوظ
到达（五级）,arrive,الوصول
道德（五级）,morality,أخلاقي
道理（五级）,reason,السبب
登记（五级）,register,التسجيل
等待（五级）,wait,الانتظار
等于（五级）,equal to,يساوي
滴（五级）,drop,السقوط
的确（五级）,it certainly is.,بالفعل
敌人（五级）,enemy,العدو
地道（五级）,tunnel,نموذج
地理（五级）,geography,جغرافية
地区（五级）,region,المنطقة
地毯（五级）,carpet,السجاد
地位（五级）,status,الحالة
地震（五级）,earthquake,الزلزال
递（五级）,deliver,تمرير
点心（五级）,dim sum,الحلويات
电池（五级）,battery,البطارية
电台（五级）,radio,الراديو
钓（五级）,fishing,صيد السمك
顶（五级）,top,قمه
动画片（五级）,cartoon,الرسوم المتحركة
冻（五级）,freeze,التجميد
洞（五级）,hole,حفره
豆腐（五级）,tofu,التوفو
逗（五级）,tease,إغاظة
独立（五级）,independence,مستقل
独特（五级）,unique,فريد من نوعه
度过（五级）,spend,قضاء (الوقت)
断（五级）,break,كسر او قطع
堆（五级）,heap,كومة
对比（五级）,compare,التباين
对待（五级）,treat,مميز
对方（五级）,opponent,الشخص او المجموعه الاخرى
对手（五级）,opponent,الخصم
对象（五级）,object,الهدق/ كائن
兑换（五级）,exchange,تبادل
吨（五级）,ton,الطن
蹲（五级）,squat,القرفصاء
顿（五级）,pause,وقت
多亏（五级）,thanks to,مدين بشيء لشخص
多余（五级）,redundant,إضافي
朵（五级）,,كلمة قياس للورد/ السحاب
躲藏（五级）,hide,إخفاء
恶劣（五级）,bad,سيء
耳环（五级）,earrings,الأقراط
发表（五级）,publish,نشر
发愁（五级）,worry,قلق
发达（五级）,developed,متطور
发抖（五级）,shiver,يرتجف
发挥（五级）,play,اللعب
发明（五级）,invention,الاختراع
发票（五级）,invoice,فاتورة
发言（五级）,speak,تحدث
罚款（五级）,fine,غرامة
法院（五级）,court,المحكمة
翻（五级）,flip,قلب
繁荣（五级）,prosperity,الازدهار
反而（五级）,instead,بدلاً من ذلك
反复（五级）,repeatedly,مرارًا وتكرارًا
反应（五级）,reaction,تتفاعل
反映（五级）,reflect,تعكس
反正（五级）,anyway,على أي حال
范围（五级）,scope,النطاق
方（五级）,square,الاتجاه
方案（五级）,plan,البرنامج
方式（五级）,way,الطريق
妨碍（五级）,hinder,إعاقة
仿佛（五级）,as if,كما لو أن
非（五级）,non,لا
肥皂（五级）,soap,صابون
废话（五级）,nonsense,هراء
分别（五级）,separate,منفصلة
分布（五级）,distribution,التوزيع
分配（五级）,assign,التوزيع
分手（五级）,break up,افتراق
分析（五级）,analysis,تحليل
纷纷（五级）,one after another,واحدًا تلو الآخر
奋斗（五级）,struggle,صراع
风格（五级）,style,أسلوب
风景（五级）,landscape,المشهد
风俗（五级）,custom,العادات
风险（五级）,risk,المخاطرة
疯狂（五级）,crazy,الجنون
讽刺（五级）,sarcasm,السخرية
否定（五级）,negative,الإنكار/سلبي
否认（五级）,deny,انكار
扶（五级）,help,المساعدة
服装（五级）,clothing,الملابس
幅（五级）,width,عرض الرسومات او الملابس
辅导（五级）,tutoring,الاستشارة
妇女（五级）,women,النساء
复制（五级）,copy,نسخ
改革（五级）,reform,الإصلاح
改进（五级）,improve,التحسين
改善（五级）,improve,التحسينات
改正（五级）,correct,التصحيح
盖（五级）,cover,غطاء
概括（五级）,generalize,التلخيص
概念（五级）,concept,المفهوم
干脆（五级）,simply,مباشر
干燥（五级）,dry,جاف
赶紧（五级）,hurry up,الإسراع
赶快（五级）,hurry up,العجله
感激（五级）,grateful,الامتنان
感受（五级）,feel,الشعور
感想（五级）,impression,الافكار
干活儿（五级）,work,العمل
钢铁（五级）,steel,الفولاذ
高档（五级）,high-end,درجة عالية
高级（五级）,advanced,درجة عالية
搞（五级）,do,فعل
告别（五级）,goodbye,توديع
格外（五级）,extra,مميز
隔壁（五级）,next door,المجاور
个别（五级）,individual,فردي
个人（五级）,individual,الفرد
个性（五级）,personality,الفردية/الشخصيه
各自（五级）,respective,كل
根（五级）,root,الجذر
根本（五级）,fundamental,أساسي
工厂（五级）,factory,المصنع
工程师（五级）,engineer,مهندس
工具（五级）,tool,الأدوات
工人（五级）,worker,عامل
工业（五级）,industry,صناعي
公布（五级）,announce,المنشورات
公开（五级）,public,عام
公平（五级）,fair,عادل
公寓（五级）,apartment,مسطح/ شقه
公元（五级）,ad,العصر
公主（五级）,princess,أميرة
功能（五级）,function,الوظائف
恭喜（五级）,congratulations,تهانينا
贡献（五级）,contribute,المساهمة
沟通（五级）,communicate,التواصل
构成（五级）,constitute,تشكل
姑姑（五级）,aunt,العمة
姑娘（五级）,girl,فتاة
古代（五级）,ancient,قديم
古典（五级）,classical,كلاسيكي
股票（五级）,stock,حصه/الاسهم
骨头（五级）,bone,عظام
鼓舞（五级）,inspire,التشجيع
鼓掌（五级）,applause,التصفيق
固定（五级）,fixed,تثبيت/اصلاح
挂号（五级）,registration,تسجيل
乖（五级）,good,جيد
拐弯（五级）,turn,الالتفاف
怪不得（五级）,no wonder.,لا عجب في ذلك
关闭（五级）,close,إغلاق
观察（五级）,observe,مشاهدة
观点（五级）,point of view,رأي
观念（五级）,idea,أفكار
官（五级）,official,رسمي
管子（五级）,pipe,الأنبوب
冠军（五级）,champion,بطل
光滑（五级）,smooth,سلس
光临（五级）,visit,الحضور
光明（五级）,bright,ساطع
光盘（五级）,cd,قرص
广场（五级）,square,مربع
广大（五级）,vast,عريض
广泛（五级）,extensive,واسع النطاق
归纳（五级）,induction,معمم
规矩（五级）,rules,قاعدة
规律（五级）,law,منتظم
规模（五级）,scale,مقياس
规则（五级）,rule,قاعدة
柜台（五级）,counter,العداد
滚（五级）,roll,لفة/اذهب
锅（五级）,pot,وعاء
国庆节（五级）,national day,اليوم الوطني
国王（五级）,king,الملك
果然（五级）,sure enough,كما هو متوقع
果实（五级）,fruit,فواكه
过分（五级）,excessive,مفرط
过敏（五级）,allergy,الحساسية
过期（五级）,expired,تاريخ انتهاء الصلاحية
哈（五级）,ah!,التعيبر عن الرضا او الانتصار
海关（五级）,customs,الجمارك
海鲜（五级）,seafood,المأكولات البحرية
喊（五级）,shout,الصراخ
行业（五级）,industry,الصناعة
豪华（五级）,luxury,فاخر
好客（五级）,hospitality,الضيافة
好奇（五级）,curious,الفضول
合法（五级）,legal,قانونية
合理（五级）,reasonable,معقول
合同（五级）,contract,العقد
合影（五级）,group photo,صوره جماعيه
合作（五级）,cooperation,التعاون
何必（五级）,why bother,لماذا
何况（五级）,what's more,ناهيك عن
和平（五级）,peace,السلام
核心（五级）,core,النواة
恨（五级）,hate,الكراهية
猴子（五级）,monkey,القرد
后背（五级）,back,الظهر
后果（五级）,consequences,العواقب
呼吸（五级）,breathe,التنفس
忽然（五级）,suddenly,فجأة
忽视（五级）,ignore,تجاهل
胡说（五级）,nonsense,هراء
胡同（五级）,hutong,زقاق
壶（五级）,pot,وعاء
蝴蝶（五级）,butterfly,فراشة
糊涂（五级）,confused,مرتبك
花生（五级）,peanut,الفول السوداني
划（五级）,row,الصف
华裔（五级）,chinese,المواطنون الاجانب من اصل صيني
滑（五级）,slip,زلق
化学（五级）,chemistry,مادة كيميائية
话题（五级）,topic,موضوع
怀念（五级）,miss,الحنين إلى الماضي
怀孕（五级）,pregnant,الحمل
缓解（五级）,ease,الإغاثة
幻想（五级）,fantasy,فانتازيا
慌张（五级）,panic,الذعر
黄金（五级）,gold,ذهبي
灰（五级）,ash,الرمادي
灰尘（五级）,dust,غبار
灰心（五级）,discouraged,فقدان العزيمه
挥（五级）,swing,التلويح
恢复（五级）,recover,استعاده
汇率（五级）,exchange rate,سعر الصرف
婚礼（五级）,wedding,زفاف
婚姻（五级）,marriage,الزواج
活跃（五级）,active,نشط
火柴（五级）,matches,تطابق
伙伴（五级）,partner,شريك
或许（五级）,maybe,ربما
机器（五级）,machine,الماكينة
肌肉（五级）,muscle,العضلات
基本（五级）,basic,أساسي
激烈（五级）,intense,شديد
及格（五级）,pass,مقبول
极其（五级）,extremely,جدا
急忙（五级）,hurry,عاجل
急诊（五级）,emergency,عاجل
集合（五级）,assemble,تجميع
集体（五级）,collective,تجميع جماعي
集中（五级）,concentrate,تركيز
计算（五级）,calculate,احسب
记录（五级）,record,السجل
记忆（五级）,memory,الذاكرة
纪录（五级）,record,التسجيل
纪律（五级）,discipline,الانضباط
纪念（五级）,commemorate,التذكر
系领带（五级）,tie,ربطة العنق
寂寞（五级）,lonely,الوحدة
夹子（五级）,clip,مشبك
家庭（五级）,family,الأسرة
家务（五级）,housework,اعمال البيت
家乡（五级）,hometown,مسقط الرأس
嘉宾（五级）,guest,الضيف
甲（五级）,a,مستوى/اول
假如（五级）,suppose,اذا
假设（五级）,suppose,افترض
假装（五级）,pretend,تظاهر
价值（五级）,value,القيمة
驾驶（五级）,drive,القيادة
嫁（五级）,marry,الزواج
坚决（五级）,resolutely,حازم
坚强（五级）,strong,قوي
肩膀（五级）,shoulder,كتف
艰巨（五级）,arduous,شاق
艰苦（五级）,hard,صعب
兼职（五级）,part-time,دوام جزئي
捡（五级）,pick up,التقاط
剪刀（五级）,scissors,مقص
简历（五级）,resume,السيرة الذاتية
简直（五级）,simply,ببساطة
建立（五级）,establish,انشاء
建设（五级）,build,بناء
建筑（五级）,architecture,بنايه
健身（五级）,fitness,لياقة بدنية
键盘（五级）,keyboard,لوحة المفاتيح
讲究（五级）,decent,التحدث عن
讲座（五级）,lecture,المحاضرة
酱油（五级）,soy sauce,صلصة الصويا
交换（五级）,exchange,التبادل
交际（五级）,communicate,التواصل الاجتماعي
交往（五级）,associate,التنشئة الاجتماعية
浇（五级）,pour,الصب
胶水（五级）,glue,الصمغ
角度（五级）,angle,الزاوية
狡猾（五级）,cunning,المكر
教材（五级）,textbook,مواد التدريس
教练（五级）,coach,المدرب
教训（五级）,lesson,الدرس
阶段（五级）,stage,المرحلة
结实（五级）,sturdy,متينة
接触（五级）,contact,الاتصال
接待（五级）,reception,الاستقبال
接近（五级）,close,الاقتراب
节省（五级）,save,التوفير
结构（五级）,structure,الهياكل
结合（五级）,combine,ادماج
结论（五级）,conclusion,الخاتمة
结账（五级）,check out,تصفية الحسابات
戒（五级）,quit,استسلام
戒指（五级）,ring,خاتم
届（五级）,session,حصه/اجتماع
借口（五级）,excuse,الأعذار
金属（五级）,metal,المعدن
尽快（五级）,asap,في أسرع وقت ممكن
尽量（五级）,as much as possible,في ابعد وقت ممكن
紧急（五级）,urgent,عاجل
谨慎（五级）,cautious,حذر
尽力（五级）,try your best,ابذل قصارى جهدك
进步（五级）,progress,تقدم
进口（五级）,import,الاستيراد
近代（五级）,modern,حديث
经典（五级）,classic,كلاسيكي
经商（五级）,do business,الأعمال
经营（五级）,manage,تشغيل
精力（五级）,energy,الطاقة
精神（五级）,spirit,روحانية
酒吧（五级）,bar,حانة
救（五级）,save,الإنقاذ
救护车（五级）,ambulance,سيارة إسعاف
舅舅（五级）,uncle,عمي
居然（五级）,actually,في الواقع
桔子（五级）,orange,برتقال
巨大（五级）,huge,ضخم
具备（五级）,have,حوزة
具体（五级）,specific,على وجه التحديد
俱乐部（五级）,club,النادي
据说（五级）,it is said that,يفترض
捐（五级）,donate,تبرع
决赛（五级）,final,النهائي
决心（五级）,determination,العزيمه
角色（五级）,role,الدور
绝对（五级）,absolute,مطلق
军事（五级）,military,عسكري
均匀（五级）,even,حتى
卡车（五级）,truck,شاحنة
开发（五级）,develop,التطوير
开放（五级）,open,فتح
开幕式（五级）,opening ceremony,حفل الافتتاح
开水（五级）,boiling water,المياه المغليه
砍（五级）,cut,قطع
看不起（五级）,look down on,النظر إلى الأسفل
看望（五级）,visit,زياره
靠（五级）,rely on,الاعتماد على
颗（五级）,grain,للاشياء الصغيره والدائريه
可见（五级）,visible,واضح انه
可靠（五级）,reliable,موثوق
可怕（五级）,scary,خائف
克（五级）,gram,جرام
克服（五级）,overcome,التغلب على
刻苦（五级）,hard,صعب
客观（五级）,objective,الهدف
课程（五级）,course,الدورة
空间（五级）,space,المساحة
空闲（五级）,idle,وقت الفراغ
控制（五级）,control,التحكم
口味（五级）,taste,التذوق
夸（五级）,praise,مدح
夸张（五级）,exaggerated,المبالغة
会计（五级）,accounting,المحاسبة
宽（五级）,width,واسع
昆虫（五级）,insect,الحشرات
扩大（五级）,expand,توسع
辣椒（五级）,chili,الفلفل الحار
拦（五级）,block,ايقاف
烂（五级）,rotten,فاسد
朗读（五级）,read aloud,القراءة بصوت عالٍ
劳动（五级）,labor,العمل
劳驾（五级）,excuse me,لو سمحت
老百姓（五级）,common people,المواطنون
老板（五级）,boss,رئيس
老婆（五级）,wife,الزوجة
老实（五级）,honest,صادق
老鼠（五级）,mouse,الفأر
姥姥（五级）,grandma,الجدة
乐观（五级）,optimistic,متفائلة
雷（五级）,ray,رعد
类型（五级）,type,النوع
冷淡（五级）,cold,بارد
厘米（五级）,cm,سانتيميتر
离婚（五级）,divorce,الطلاق
梨（五级）,pear,كمثرى
理论（五级）,theory,النظريه
理由（五级）,reason,السبب
力量（五级）,strength,القوة الجسديه
立即（五级）,immediately,على الفور
立刻（五级）,immediately,فوراً
利润（五级）,profit,الربح
利息（五级）,interest,الفائدة
利益（五级）,benefit,الفائدة
利用（五级）,use,الاستفادة
连忙（五级）,hurry,قورا
连续（五级）,continuous,على التوالي
联合（五级）,joint,مشترك
恋爱（五级）,in love,الحب
良好（五级）,good,الخير
粮食（五级）,food,حبوب الاكل
亮（五级）,bright,مشرق
了不起（五级）,amazing,رائع
列车（五级）,train,القطار
临时（五级）,temporary,مؤقت
灵活（五级）,flexible,مرن
铃（五级）,bell,الجرس
零件（五级）,parts,الأجزاء
零食（五级）,snack,الوجبات الخفيفة
领导（五级）,leader,القيادة
领域（五级）,field,المجالات
浏览（五级）,browse,تصفح
流传（五级）,spread,التعميم
流泪（五级）,tears,ذرف الدموع
龙（五级）,dragon,التنين
漏（五级）,leak,التسرب
陆地（五级）,land,الأرض
陆续（五级）,one after another,على التوالي
录取（五级）,admit,التحاق
录音（五级）,recording,تسجيل الصوت
轮流（五级）,take turns,اخذ الادوار
论文（五级）,thesis,الأطروحة
逻辑（五级）,logic,المنطق
落后（五级）,backward,إلى الوراء
骂（五级）,scold,اللعن
麦克风（五级）,microphone,الميكروفون
馒头（五级）,steamed bread,الكعك
满足（五级）,satisfy,الرضا
毛病（五级）,fault,عاده سيئه
矛盾（五级）,contradiction,التناقض
冒险（五级）,adventure,المغامرة
贸易（五级）,trade,التجارة
眉毛（五级）,eyebrow,الحواجب
媒体（五级）,media,وسط
煤炭（五级）,coal,الفحم
美术（五级）,art,الفن التشكيلي
魅力（五级）,charm,بريق
梦想（五级）,dream,الأحلام
秘密（五级）,secret,سر
秘书（五级）,secretary,سكرتير
密切（五级）,close,حميم
蜜蜂（五级）,bee,نحلة
面对（五级）,face,مواجهه
面积（五级）,area,المنطقة
面临（五级）,face,مواجهة شي ما
苗条（五级）,slim,نحيف
描写（五级）,describe,الوصف
敏感（五级）,sensitive,حساس
名牌（五级）,famous brand,اسم شهير
名片（五级）,business card,بطاقة اعمال
名胜古迹（五级）,places of interest,الأماكن تازيخيه
明确（五级）,clear,توضيح
明显（五级）,obvious,واضح
明星（五级）,star,نجمة
命令（五级）,command,طلب او امر
命运（五级）,destiny,القدر
摸（五级）,touch,اللمس
模仿（五级）,imitate,تقليد
模糊（五级）,blurry,طمس
模特（五级）,model,الموديل
摩托车（五级）,motorcycle,دراجة نارية
陌生（五级）,strange,غريب
某（五级）,some,بعض
木头（五级）,wood,خشب
目标（五级）,goal,الهدف
目录（五级）,directory,كتالوج
目前（五级）,currently,حاضر
哪怕（五级）,even if,حتى لو
难怪（五级）,no wonder,لا عجب
难免（五级）,inevitable,من الصعب تجنب
脑袋（五级）,head,عقل
内部（五级）,internal,الباطنة
内科（五级）,internal medicine,الطب الباطني
嫩（五级）,tender,العطاء
能干（五级）,capable,قادر
能源（五级）,energy,مصدر الطاقة
嗯（五级）,ok,همم
年代（五级）,era,عقد من الزمن
年纪（五级）,age,العمر
念（五级）,read,دراسة
宁可（五级）,rather,أفضل
牛仔裤（五级）,jeans,الجينز
农村（五级）,rural,ريفي
农民（五级）,farmer,مزارع
农业（五级）,agriculture,الزراعة
浓（五级）,thick,سميك
女士（五级）,madam,سيده
欧洲（五级）,europe,أوروبا
偶然（五级）,accidental,بالصدفة
拍（五级）,pat,اللقطة
派（五级）,pie,تعيين
盼望（五级）,hope,توقع
培训（五级）,training,التدريب
培养（五级）,cultivate,حرث
赔偿（五级）,compensation,تعويض
佩服（五级）,admire,الإعجاب
配合（五级）,cooperate,تعاون
盆（五级）,basin,الحوض
碰（五级）,touch,مقابلة شخص
批（五级）,batch,دفغه
批准（五级）,approve,الموافقة
披（五级）,phi,ثنى
疲劳（五级）,fatigue,تعب
匹（五级）,bolt,كلمة قياس للاحصنه
片（五级）,slice,القطعة
片面（五级）,one-sided,غير متساوي
飘（五级）,flutter,تعويم
拼音（五级）,pinyin,بينيين
频道（五级）,channel,قناة
平（五级）,flat,مسطح
平安（五级）,safeness,سلام
平常（五级）,usual,عادي
平等（五级）,equality,متساوية
平方（五级）,square,المربع
平衡（五级）,balance,التوازن
平静（五级）,calm,هادئ
平均（五级）,average,المتوسط
评价（五级）,evaluation,تقييم
凭（五级）,by,وفقا ل
迫切（五级）,urgent,الاستعجال
破产（五级）,bankruptcy,الإفلاس
破坏（五级）,destroy,التدمير
期待（五级）,expect,التوقع
期间（五级）,period,الفترة
其余（五级）,the rest,البقية
奇迹（五级）,miracle,معجزة
企业（五级）,enterprise,المؤسسة
启发（五级）,inspire,الإلهام
气氛（五级）,atmosphere,الغلاف الجوي
汽油（五级）,gasoline,البنزين
谦虚（五级）,modesty,التواضع
签（五级）,sign,توقيع
前途（五级）,future,المستقبل
浅（五级）,shallow,ضحل
欠（五级）,owe,مدين
枪（五级）,gun,مسدس
强调（五级）,emphasize,التوكيد
强烈（五级）,strong,قوي
墙（五级）,wall,حائط
抢（五级）,grab,سرقة
悄悄（五级）,quietly,بهدوء
瞧（五级）,voila!,انظر
巧妙（五级）,ingenious,بمهارة
切（五级）,cut,اقطع
亲爱（五级）,dear,عزيزي
亲切（五级）,kind,لطيف
亲自（五级）,personally,شخصياً
勤奋（五级）,diligence,مجتهد
青（五级）,blue,نعت للالوان
青春（五级）,youth,شبابي
青少年（五级）,teenager,مراهق
轻视（五级）,despise,الاحتقار
轻易（五级）,easy,سهل
清淡（五级）,light,نعت للاكل
情景（五级）,scenario,منظر
情绪（五级）,emotion,العواطف
请求（五级）,request,الطلب
庆祝（五级）,celebrate,الاحتفال
球迷（五级）,fan,المعجبون
趋势（五级）,trend,الاتجاهات
取消（五级）,cancel,الإلغاء
娶（五级）,marry,الزواج
去世（五级）,died,وفاة
圈（五级）,circle,دائرة
权力（五级）,power,السلطة
权利（五级）,right,الحقوق
全面（五级）,comprehensive,كامل
劝（五级）,advise,الإقناع
缺乏（五级）,lack,عدم وجود
确定（五级）,make sure,اليقين
确认（五级）,confirm,التأكيد
群（五级）,group,قطيع
燃烧（五级）,combustion,الاحتراق
绕（五级）,go around,حول
热爱（五级）,love,الحب
热烈（五级）,enthusiastic,دافئ
热心（五级）,enthusiastic,الحماس
人才（五级）,talent,الموهبة
人口（五级）,population,السكان
人类（五级）,human,التعداد السكاني
人民币（五级）,rmb,الرنمينبي(العمله الصينيه)
人生（五级）,life,الحياة
人事（五级）,personnel,مسائل شخصيه
人物（五级）,character,مجسم
人员（五级）,personnel,طاقم
忍不住（五级）,can't help it,لا يمكن المساعدة
日常（五级）,daily,يومياً
日程（五级）,schedule,جدول
日历（五级）,calendar,التقويم
日期（五级）,date,التواريخ
日用品（五级）,daily necessities,مواد الاستخدام اليومي
日子（五级）,day,اليوم
如何（五级）,how,كيف
如今（五级）,now,في الوقت الحاضر
软（五级）,soft,ناعم
软件（五级）,software,البرمجيات
弱（五级）,weak,ضعيفة
洒（五级）,sprinkle,الانسكاب
嗓子（五级）,throat,الحلق
色彩（五级）,color,اللون
杀（五级）,kill,قتل
沙漠（五级）,desert,صحراء
沙滩（五级）,beach,رمال
傻（五级）,stupid,سخيف
晒（五级）,sun,تشمس
删除（五级）,delete,حذف
闪电（五级）,lightning,برق
扇子（五级）,fan,مروحة
善良（五级）,kind,طيب القلب
善于（五级）,good at,جيد في
伤害（五级）,hurt,الضرر
商品（五级）,product,السلع
商务（五级）,business,التجارة
商业（五级）,business,تجارية
上当（五级）,fooled,مخدوع
蛇（五级）,snake,ثعبان
舍不得（五级）,reluctant,حقد
设备（五级）,equipment,المعدات
设计（五级）,design,التصميم
设施（五级）,facilities,المنشأة
射击（五级）,shoot,التصويب
摄影（五级）,photography,التصوير الفوتوغرافي
伸（五级）,stretch,التمدد
身材（五级）,figure,مجسم
身份（五级）,identity,الهوية
深刻（五级）,profound,العمق
神话（五级）,myth,الأسطورة
神秘（五级）,mystery,الغموض
升（五级）,liter,الصعود
生产（五级）,production,الإنتاج
生动（五级）,vivid,حيوية
生长（五级）,grow,النمو
声调（五级）,tone,النغمة
绳子（五级）,rope,حبل
省略（五级）,omit,حذف
胜利（五级）,victory,النصر
失眠（五级）,insomnia,الأرق
失去（五级）,lose,خسارة
失业（五级）,unemployment,البطالة
诗（五级）,poetry,قصيدة
狮子（五级）,lion,أسد
湿润（五级）,wet,مبلل
石头（五级）,stone,حجر
时差（五级）,time difference,اختلاف الوقت
时代（五级）,era,حقبة
时刻（五级）,moment,لحظة
时髦（五级）,fashionable,المألوف
时期（五级）,period,فترة
